Genre,Count,93416 divded
judy moody (ficticious character),19,4916.631579
peur,19,4916.631579
frog and toad (fictitious characters),19,4916.631579
relations humaines,19,4916.631579
bilingual books,19,4916.631579
1914-1918,19,4916.631579
sapos,19,4916.631579
zombies,19,4916.631579
"""friendship""",19,4916.631579
lexile_range:701-800,19,4916.631579
perros,19,4916.631579
cities and towns,19,4916.631579
series:frog_and_toad,19,4916.631579
berenstain bears (fictitious characters),19,4916.631579
fossils,19,4916.631579
avundsjuka,19,4916.631579
emotions in girls,19,4916.631579
determination in girls,19,4916.631579
determination (personal quality),19,4916.631579
berömmelse,19,4916.631579
girls & women,19,4916.631579
textbooks for foreign speakers,19,4916.631579
moods and moodiness,19,4916.631579
moon,19,4916.631579
mongolian literature,19,4916.631579
stavning,19,4916.631579
arte de hablar en público,19,4916.631579
violence,19,4916.631579
19th century,19,4916.631579
soccer,19,4916.631579
endangered species,19,4916.631579
whales,19,4916.631579
giants,19,4916.631579
young adult works,19,4916.631579
héroes,19,4916.631579
english detective and mystery stories,19,4916.631579
school principals,19,4916.631579
viaje a través del tiempo,19,4916.631579
chiens,19,4916.631579
korean language materials,19,4916.631579
hercule poirot (fictitious character),19,4916.631579
ocean,19,4916.631579
summer,19,4916.631579
occupations,19,4916.631579
hercule (fictitious character),19,4916.631579
intimidation,19,4916.631579
autism,19,4916.631579
poirot,19,4916.631579
television programs,19,4916.631579
reality television programs,19,4916.631579
tortues,19,4916.631579
political,19,4916.631579
hockey players,18,5189.777778
concours et compétitions,18,5189.777778
programas,18,5189.777778
soldiers,18,5189.777778
political science,18,5189.777778
grade:min:3,18,5189.777778
social classes,18,5189.777778
spanish-english,18,5189.777778
biology,18,5189.777778
leadership,18,5189.777778
natural history,18,5189.777778
poverty,18,5189.777778
emotions & feelings,18,5189.777778
kids,18,5189.777778
teeth,18,5189.777778
werewolves,18,5189.777778
poetry (poetic works by one author),18,5189.777778
saisons,18,5189.777778
responsibility,18,5189.777778
holidays,18,5189.777778
private schools,18,5189.777778
monkeys,18,5189.777778
honesty,18,5189.777778
computers,18,5189.777778
refugees,18,5189.777778
age:min:10,18,5189.777778
televisión,18,5189.777778
animales domésticos,18,5189.777778
american wit and humor,18,5189.777778
camping,18,5189.777778
popular works,18,5189.777778
reincarnation,18,5189.777778
crapauds,18,5189.777778
enfants,18,5189.777778
india,18,5189.777778
fantasía,18,5189.777778
mother and child,18,5189.777778
illustrations,18,5189.777778
primary school,18,5189.777778
textbooks,18,5189.777778
prophecies,18,5189.777778
television game shows,18,5189.777778
monstres,17,5495.058824
dinosaurios,17,5495.058824
sorciers,17,5495.058824
juvenile fiction,17,5495.058824
rider,17,5495.058824
school field trips,17,5495.058824
orphelins,17,5495.058824
concursos,17,5495.058824
tortugas,17,5495.058824
physics,17,5495.058824
slavery,17,5495.058824
inventions,17,5495.058824
french,17,5495.058824
animal behavior,17,5495.058824
racism,17,5495.058824
physiology,17,5495.058824
time,17,5495.058824
children: grades 2-3,17,5495.058824
rants,17,5495.058824
lion,17,5495.058824
lexile 301-400,17,5495.058824
restaurants,17,5495.058824
american poetry,17,5495.058824
muerte,17,5495.058824
environmental aspects,17,5495.058824
ouvrages illustrés,17,5495.058824
curiosities and wonders,17,5495.058824
middle ages,17,5495.058824
voyages,17,5495.058824
german,17,5495.058824
grade:min:preschool,17,5495.058824
family relationships,17,5495.058824
outer space,17,5495.058824
babies,17,5495.058824
alligators,17,5495.058824
titanic (steamship),17,5495.058824
machinery,17,5495.058824
i can read book,17,5495.058824
lexile_range:801-900,17,5495.058824
contes,17,5495.058824
gangs,17,5495.058824
hurricanes,17,5495.058824
loneliness,17,5495.058824
fantastische literatur,17,5495.058824
accelerated reader 1.4,17,5495.058824
collectionid:caldecotthonor70,17,5495.058824
chang pian xiao shuo,17,5495.058824
ancient,17,5495.058824
geology,17,5495.058824
babysitters club (imaginary organization),16,5838.5
food habits,16,5838.5
teddy bears,16,5838.5
family secrets,16,5838.5
great-grandfathers,16,5838.5
houses,16,5838.5
battle of,16,5838.5
medical,16,5838.5
pictorial american wit and humor,16,5838.5
spanish,16,5838.5
spanish: grades 4-7,16,5838.5
programas de televisión,16,5838.5
conditions sociales,16,5838.5
competition (psychology),16,5838.5
world records,16,5838.5
natural disasters,16,5838.5
lectures et morceaux choisis,16,5838.5
american horror tales,16,5838.5
détermination (trait de personnalité),16,5838.5
teacher-student relationships,16,5838.5
readers (secondary),16,5838.5
inuit,16,5838.5
multiculturalism,16,5838.5
owls,16,5838.5
washington (d.c.),16,5838.5
droon (imaginary place),16,5838.5
railroads,16,5838.5
motels,16,5838.5
nutrition,16,5838.5
chinese americans,16,5838.5
