Authors,Genres,Number Of Books
Nicholas Harris,"angels,dogs,general,heroes,american literature,diseases,general,lgbtq novels before stonewall,nouvelles,patients,romans,adventure, friendship, juvenile literature, mystery and detective stories, fantasy",3
Merrie Haskell,"brothers and sisters,castles,children,children's stories,england,english,fantasy,friendship,general,great britain,historical,history,magic,rings,wishes",1
Elizabeth Winthrop,"adventure,fantasy,humor,kidnapping,love,magic,castles,fantasy,knights and knighthood,magic,toys,castles,fantasy,knights and knighthood,magic,toys,castles,fantasy,knights and knighthood,magic,toys,castles,fantasy,knights and knighthood,magic,toys,castles,fantasy,knights and knighthood,magic,toys,castles,fantasy,knights and knighthood,magic,toys",1
BLAKEY Lilian,"animals,dwellings,home,stories in rhyme",1
Tessa Krailing,"boys,cats,fantasy,reincarnation,soldiers,clubs,dogs,pets,clubs,goats,parrots,aunts,cats,clubs,conduct of life,dogs,donkeys,fairs,goats,great-aunts,hamsters,horsemanship,pets,pigs,ponies,rats,schools,snakes,clubs,dogs,pets,juvenile literature, animals, friendship, adventure and adventurers, humorous stories,juvenile literature, friendship, adventure and adventurers, animals, fantasy",8
dr seuss,"age:max:12,age:min:8,artists,award:newbery_award,buddhism,cats,children's stories,fairy tales,folklore,grade:max:7,grade:min:3,history,japan,lexile:1000,lexile_range:1001-1100,newbery medal,newbery medal books,tales",1
Dr Seuss,"american,bilingual,brothers and sisters,cat in the hat (fictitious character),cats,cats--poetry,chats,children's literature,children's stories,creative activities and seat work,etc. pour la jeunesse,fantasy,ficción juvenil,folklore,french language,french language materials,gatos,hats,histoires rim?es,humorous stories,juvenile literature,juvenile wit and humor,large type books,latin language,latin language materials,nonsense verses,nouvelles,pictorial works,picture books,poetry,readers,romans,spanish,spanish language,spanish literature,stories in rhyme,student activities,alphabet,alphabet books,beginner,beginner books,board books,children's stories,concepts,english language,juvenile literature,nonsense verses,reader,readers,stories in rhyme,stories in verse,toy and movable books,vocabulary,1960-1988,2-3 years,20,4,activities,audio-cassette included,beginner,beginner books,books,chamber music,children's,children's stories,classics,dr. seuss,eggs,english,first time readers,food,food habits,food preferences,green eggs and ham,ham,humorous stories,i can read it all by myself,in rhymes,jig story,jigsaw,juvenile literature,juvenile poetry,large type books,latin language,latin language materials,nonsense verses,open library staff picks,picture books,picture lions,pre-school,puzzles,reader,readers,rhyming,specimens,stories,stories in rhyme,vocabulary,1960-1988,2-3 years,20,4,activities,audio-cassette included,beginner,beginner books,books,chamber music,children's,children's stories,classics,dr. seuss,eggs,english,first time readers,food,food habits,food preferences,green eggs and ham,ham,humorous stories,i can read it all by myself,in rhymes,jig story,jigsaw,juvenile literature,juvenile poetry,large type books,latin language,latin language materials,nonsense verses,open library staff picks,picture books,picture lions,pre-school,puzzles,reader,readers,rhyming,specimens,stories,stories in rhyme,vocabulary,1960-1988,2-3 years,20,4,activities,audio-cassette included,beginner,beginner books,books,chamber music,children's,children's stories,classics,dr. seuss,eggs,english,first time readers,food,food habits,food preferences,green eggs and ham,ham,humorous stories,i can read it all by myself,in rhymes,jig story,jigsaw,juvenile literature,juvenile poetry,large type books,latin language,latin language materials,nonsense verses,open library staff picks,picture books,picture lions,pre-school,puzzles,reader,readers,rhyming,specimens,stories,stories in rhyme,vocabulary,nonsense verses,stories in rhyme,tongue twisters,american,children's stories,conduct of life,fantasy,humorous stories,nonsense verses,nonsense-verses,picture books,poetry,prejudices,short stories,stories in rhyme,stories in verse,toleration,american,animals,books,children's,children's poetry,concepts,dr. seuss,dwellings,houses,humorous stories,imaginary creatures,imagination,juvenile,literature,nonsense verses,picture books,rhyme,rhymes,rhyming,social acceptance,stories,stories in rhyme,vocabulary,words,picture books, humorous stories, childrens stories, friendship, adventure and adventurers,picture books, humor, children's stories, fantasy, rhyme,picture books, children's stories, humorous stories, fiction, juvenile literature,childrens stories, humorous stories, fantasy, picture books,fantasy, picture books, children's stories, humorous stories",11
Seuss,"american,bilingual,brothers and sisters,cat in the hat (fictitious character),cats,cats--poetry,chats,children's literature,children's stories,creative activities and seat work,etc. pour la jeunesse,fantasy,ficción juvenil,folklore,french language,french language materials,gatos,hats,histoires rim?es,humorous stories,juvenile literature,juvenile wit and humor,large type books,latin language,latin language materials,nonsense verses,nouvelles,pictorial works,picture books,poetry,readers,romans,spanish,spanish language,spanish literature,stories in rhyme,student activities,* suitable for all ages,*1965 orig. public.,*1993 copyright renewal,*2015 50th anniversary,*age 3-7,*christianbook.com,1986,animals,beginner,beginner books,board books,book in rhymes,books,cassette,character books,children,children's,children's stories,children: kindergarten,concepts,dr. seuss,fantasy,fox in socks,fox in sox,foxes,humorous stories,i can read it all by myself,juvenile,juvenile literature,juvenile poetry,kids,literature,littérature pour la jeunesse anglaise,nonsense verses,open library staff picks,picture books,preschool to gr.2,read-along,reader,recordings,rhyme,rhymes,sound,sounds,stories,stories in rhyme,tongue twister,tongue twisters,schools,stories in rhyme,teachers,behavior,children's stories,christmas,christmas stories,coloring books,contes,fantasy,histoires rimées,humorous stories,latin language materials,nonsense verses,noël,ouvrages illustrés,pictorial works,spanish language materials,stories in rhyme,air,children's stories,coloring books,conservation of natural resources,cuentos en rima,ecology,environmental aspects,environmental protection,industries,new york times bestseller,pictorial works,pollution,stories in rhyme,animal sounds,animals,board book,board books,children's stories,classics,concepts,dr. seuss,humorous stories,juvenile literature,noise,pictorial works,rhymes,sound,sounds,stories in rhyme,beginner,color,colors,concepts,day,emotions,emotions & feelings,juvenile literature,reader,social themes,stories in rhyme,children's books/baby-preschool,children's stories,juvenile literature,perception,pictorial works,picture books,shape,size and shape,stories in rhyme,animals,brothers and sisters,decision making,humorous stories,new york times bestseller,pet shops,pets,selection,stories in rhyme",9
Catherine Anholt,"american,animals,bilingual,board books,butterflies,caterpillar,caterpillars,caterpillers,chenilles,children's books/baby-preschool,children's stories,chinese,chinese language edition,english,espagnol (langue),especímenes,ficción juvenil,flowers,german language materials,histoires pour enfants,italian language materials,juvenile,kyrgyz,libros de juguete y movibles,libros de juguete y móviles,littérature de jeunesse anglaise,livres tactiles,livres tout carton,mariposas,metamorfosis (biología),metamorphis,metamorphosis,muestras,métamorphose,new york times bestseller,novela juvenil,nyt:picture-books=2009-04-05,open library staff picks,orugas,ouvrages illustrés,ouvrages pour la jeunesse,papillons,pictorial works,picture books,picture books for children,spanish language materials,specimens,textured books,touch,toucher,toy and movable books,translations into chinese,translations into urdu,translations into vietnamese",1
Holly Web,"children's poetry,families,family,family life,literary collections,poetry,animals,dogs,fantasy,friendship,human-animal communication,lottie (fictitious character : webb),magic,pet shops,schools",2
Gail Gibbons,"animals,cats,family,lottie (fictitious character : webb),magic,pet shops,summer,uncles,american,american authors,authors,biography,description and travel,desert biology,edward,environmentalists,novelists,united states,bilingual,children's plays,children's stories,children: kindergarten,domestic animals,ducks,english,farm life,farmers,korean,nouvelles,pictorial works,picture books,plays,readers,readers (elementary),revolutions,romans,spanish language materials,translations from english,vie à la ferme,vietnamese language,architecture,domestic,dwellings,juvenile literature,cows,juvenile literature,baseball,juvenile literature,juvenile literature,soccer,detective and mystery stories,england,english literature,false imprisonment,general,hercule (fictitious character),hercule poirot (fictitious character),investigation,large type books,mothers and daughters,murder,mystery,mystery & detective,open library staff picks,poirot,private investigators,traditional,women sleuths,juvenile literature,pumpkin,board books,building,juvenile literature,food,juvenile literature,ouvrages pour la jeunesse,vegetables,nature, rain forests, juvenile literature, animals,biography, animals, history, adventure",13
Pascale de Bourgoing,"animals,cats,siblings",1
Karen Hesse,"american,bilingual,brothers and sisters,cat in the hat (fictitious character),cats,cats--poetry,chats,children's literature,children's stories,creative activities and seat work,etc. pour la jeunesse,fantasy,ficción juvenil,folklore,french language,french language materials,gatos,hats,histoires rim?es,humorous stories,juvenile literature,juvenile wit and humor,large type books,latin language,latin language materials,nonsense verses,nouvelles,pictorial works,picture books,poetry,readers,romans,spanish,spanish language,spanish literature,stories in rhyme,student activities,people with mental disabilities,sisters,wishes",2
Caroline Stutson,"1933-1945,1939-1945,cats,girls,heroes,heroes and heroines,history,holocaust,jewish (1939-1945),jews,persecutions,sisters,world war",1
Charles De Lint,"cats,city and town life,counting books,dance,stories in rhyme",1
Eleanor Farjeon,"cats,magic,orphans,snakes,trees",1
Drew Brockington,"cats,children's poetry,english,english poetry,juvenile poetry,poetry",1
Matthew J Kirby,juvenile literature,1
Steffi Cavell-Clarke,"fasts and feasts,islam,juvenile literature,ʻīd al-fiṭr",1
Diane Hoyt-Goldsmith,"christian life,christianity,religion & spirituality,society of friends,spiritual life",1
Judith Anderson,"christian life,christianity,religion & spirituality,society of friends,spiritual life,england,english detective and mystery stories,english literature,espionage,general,large type books,mystery,mystery & detective,private investigators,thrillers,traditional,women sleuths,africa,histoire,history,international cooperation,politics and government,politique et gouvernement,wars",3
Jane Cutler,"case studies,celebrities,ethics,juvenile literature,kidnapping,mass media,pirates,prevention",1
Imogene Forte,"courage,musicians,war",1
Priti Birla Maheshwari,"creative activities and seat work,handbooks,manuals,family life, friendship, adventure and adventurers, juvenile literature,fiction, juvenile, friendship, adventure, humor",2
Joy Cowley,"adventure and adventurers,adventure stories,cartoons and comics,comic books,good and evil,lego toys,ninja,strips",1
Bruce Hale,"acceptation de soi,amusements,animales zoológicos,animals,aprobación de sí mismo,art,bilingual,chameleons,children's stories,creative activities and seat work,etc. pour la jeunesse,ficción juvenil,juvenile,juvenile literature,lizards,nouvelles,parques zoológicos,pets,picture books,readers (primary),romans,self-acceptance,specimens,toy and movable books,toys,zoo animals,zoos,fairy tales,folklore,mystery and detective stories, juvenile literature, humorous stories,mystery and detective stories, juvenile literature, humorous stories,mystery and detective stories, humorous stories, juvenile literature, adventure stories,mystery and detective stories, juvenile literature, humor, adventure,mystery and detective stories, juvenile literature, humorous stories, friendship, adventure and adventurers",6
Martin Jenkins,"chameleons,juvenile literature,behavior,emperor penguin,habits and behavior,juvenile literature,parent and child,parental behavior in animals,penguins,behavior,emperor penguin,habits and behavior,juvenile literature,parent and child,parental behavior in animals,penguins,juvenile literature, animals, friendship, humorous stories, picture books",2
John Hareas,"chameleons,juvenile literature,biography,sports",2
Louis Napier-Anderson,"psychological aspects,sports,teamwork (sports)",1
Beryl Young,"accelerated reader,accessible book,avarice,behavior,candy,candy industry,charlie bucket (fictitious character),children's middle grade action & adventure books,children's picture books,children's plays,childrens media tie-in books,chocolat,chocolate,chocolate factories,chocolate industry,conduct of life,conducta,cuentos humorísticos,eccentrics and eccentricities,etc. pour la jeunesse,factories,fantasy,ficción juvenil,general,grandparent and child,human behavior,humorous stories,humourous stories,in library,industrie,juvenile,juvenile literature,juvenile works,literatura angielska dla młodzieży,literatura juvenil,morale pratique,nouvelles,open library staff picks,overdrive,plays,protected daisy,romans,récits humoristiques,short stories,spanish language materials,tłumaczenia polskie,willy wonka (fictitious character),wonka bars",1
Jenny Nimmo,"accelerated reader,accessible book,avarice,behavior,candy,candy industry,charlie bucket (fictitious character),children's middle grade action & adventure books,children's picture books,children's plays,childrens media tie-in books,chocolat,chocolate,chocolate factories,chocolate industry,conduct of life,conducta,cuentos humorísticos,eccentrics and eccentricities,etc. pour la jeunesse,factories,fantasy,ficción juvenil,general,grandparent and child,human behavior,humorous stories,humourous stories,in library,industrie,juvenile,juvenile literature,juvenile works,literatura angielska dla młodzieży,literatura juvenil,morale pratique,nouvelles,open library staff picks,overdrive,plays,protected daisy,romans,récits humoristiques,short stories,spanish language materials,tłumaczenia polskie,willy wonka (fictitious character),wonka bars,adventure and adventurers,animals,boarding schools,castles,cats,england,fantasy,magic,orphans,pets,schools,witches,wizards,fantasy,magic,magicians,boarding schools,england,fantasy,gifted children,magic,school stories,schools,time travel,boarding schools,england,fantasy,gifted children,magic,school stories,schools,time travel,boarding schools,england,fantasy,gifted children,magic,school stories,schools,time travel,boarding schools,england,fantasy,gifted children,magic,school stories,schools,time travel,boarding schools,england,fantasy,gifted children,magic,school stories,schools,time travel,amitié,boarding schools,brothers,children's stories,cousins,england,humor,magic,magie,school children,schools,spies,time travel,witches,fiction, juvenile literature, friendship, adventure, fantasy,fiction, juvenile literature, friendship, adventure, fantasy,fantasy, adventure, mystery and detective stories, magic, schools,fantasy, adventure, mystery and detective stories, magic",8
Charles M Schulz,magic,1
Scholastic,"humorous stories,interpersonal relations,schools,theater,video games,finance,personal,personal finance,asceticism,continental european drama (dramatic works by one author),ethics,ethics (philosophy),german,german philosophy,good & evil,good and evil,good and evil.,history & surveys,modern,morale,open_syllabus_project,philosophie,philosophy,translations into english,asceticism,continental european drama (dramatic works by one author),ethics,ethics (philosophy),german,german philosophy,good & evil,good and evil,good and evil.,history & surveys,modern,morale,open_syllabus_project,philosophie,philosophy,translations into english,asceticism,continental european drama (dramatic works by one author),ethics,ethics (philosophy),german,german philosophy,good & evil,good and evil,good and evil.,history & surveys,modern,morale,open_syllabus_project,philosophie,philosophy,translations into english,asceticism,continental european drama (dramatic works by one author),ethics,ethics (philosophy),german,german philosophy,good & evil,good and evil,good and evil.,history & surveys,modern,morale,open_syllabus_project,philosophie,philosophy,translations into english,asceticism,continental european drama (dramatic works by one author),ethics,ethics (philosophy),german,german philosophy,good & evil,good and evil,good and evil.,history & surveys,modern,morale,open_syllabus_project,philosophie,philosophy,translations into english,asceticism,continental european drama (dramatic works by one author),ethics,ethics (philosophy),german,german philosophy,good & evil,good and evil,good and evil.,history & surveys,modern,morale,open_syllabus_project,philosophie,philosophy,translations into english,asceticism,continental european drama (dramatic works by one author),ethics,ethics (philosophy),german,german philosophy,good & evil,good and evil,good and evil.,history & surveys,modern,morale,open_syllabus_project,philosophie,philosophy,translations into english,adventure and adventurers,friendship,mythical animals,pokemon (fictitious characters),pokémon (fictitious characters),experiments,juvenile literature,reader,rocketry,science,science & nature,crimes against,general,journalists,mystery & detective,new york (n.y.),contemporary,general,romance,skis and skiing,biography,drug abuse,drug addicts,drug use,heroin,teachers,united states,atomic bomb,audiobooks,brainwashing,ciencia,ciencia-ficción,classics,collectionid:conroechallenge,control (psychology),dystopian,dystopias,effect of human beings on,english literature,environmental aspects,ethics,ficción,future,general,genetic engineering,history and criticism,large type books,london,long now manual for civilization,moral and ethical aspects,nature,new york times reviewed,political,propaganda,psychological,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 9,satire,science,social problems,totalitarianism,utopias,juvenile literature, friendship, adventure and adventurers, fantasy, mystery and detective stories,fantasy, adventure, manga, comics, friendship,juvenile literature, friendship, adventure and adventurers, fantasy, mystery and detective stories,fantasy, adventure, manga, comics, friendship,fiction, childrens stories, friendship, adventure and adventurers, friendship,humorous, adventure, childrens stories, secrets,fantasy, adventure, friendship, mythology, juvenile literature,biography, friendship, juvenile literature,juvenile literature, friendship, adventure and adventurers, animals, native americans,mystery, adventure, children's stories, detective and mystery stories,science fiction, adventure, juvenile literature, space and time.,non-fiction, sports, records, children's non-fiction, reference,juvenile literature, friendship, adventure and adventurers, mystery and detective stories, fantasy,adventure, history, friendship, mystery,humorous stories, fantasy, horror, monsters",23
Rory S Lerman,"1914-1918,etc. pour la jeunesse,guerre mondiale,nouvelles,romans,world war,world war (1914-1918) fast (ocolc)fst01180746",1
Paul Bright,"dogs,england",1
E B (Elwyn Brooks) White,"stories in rhyme,underwear,voyages and travels,accessible book,american farm life,amistad,animales domésticos,animals,araignées,arañas,authors,award winning books,blind,books and reading,cerdos,children's books,children's stories,chinese language materials,crianã§a,domestic animals,english,english (ie as school subject),english language,etc. pour la jeunesse,exploitations agricoles,fantasy,farm life,farms,ficción juvenil,folklore,for national curriculum key stage 2,french language materials,friendship,humorous stories,insects,italian,juvenile literature,juvenile works,korean language materials,large type books,latin language materials,love,massachusetts children's book award winner,materiales en español,mice,newbery honor,newbery honor book,newbery medal,nouvelles,novela juvenil,open library staff picks,pets,pigs,porcs,protected daisy,readers,romans,spanish language,spanish language materials,spanish stories,spiders,stories,stuart little (fictitious character),swans,swine,tong hua,trumpeter swan,vida agrícola,women,accessible book,american farm life,amistad,animales domésticos,animals,araignées,arañas,authors,award winning books,blind,books and reading,cerdos,children's books,children's stories,chinese language materials,crianã§a,domestic animals,english,english (ie as school subject),english language,etc. pour la jeunesse,exploitations agricoles,fantasy,farm life,farms,ficción juvenil,folklore,for national curriculum key stage 2,french language materials,friendship,humorous stories,insects,italian,juvenile literature,juvenile works,korean language materials,large type books,latin language materials,love,massachusetts children's book award winner,materiales en español,mice,newbery honor,newbery honor book,newbery medal,nouvelles,novela juvenil,open library staff picks,pets,pigs,porcs,protected daisy,readers,romans,spanish language,spanish language materials,spanish stories,spiders,stories,stuart little (fictitious character),swans,swine,tong hua,trumpeter swan,vida agrícola,women,accessible book,american farm life,amistad,animales domésticos,animals,araignées,arañas,authors,award winning books,blind,books and reading,cerdos,children's books,children's stories,chinese language materials,crianã§a,domestic animals,english,english (ie as school subject),english language,etc. pour la jeunesse,exploitations agricoles,fantasy,farm life,farms,ficción juvenil,folklore,for national curriculum key stage 2,french language materials,friendship,humorous stories,insects,italian,juvenile literature,juvenile works,korean language materials,large type books,latin language materials,love,massachusetts children's book award winner,materiales en español,mice,newbery honor,newbery honor book,newbery medal,nouvelles,novela juvenil,open library staff picks,pets,pigs,porcs,protected daisy,readers,romans,spanish language,spanish language materials,spanish stories,spiders,stories,stuart little (fictitious character),swans,swine,tong hua,trumpeter swan,vida agrícola,women,accessible book,american farm life,amistad,animales domésticos,animals,araignées,arañas,authors,award winning books,blind,books and reading,cerdos,children's books,children's stories,chinese language materials,crianã§a,domestic animals,english,english (ie as school subject),english language,etc. pour la jeunesse,exploitations agricoles,fantasy,farm life,farms,ficción juvenil,folklore,for national curriculum key stage 2,french language materials,friendship,humorous stories,insects,italian,juvenile literature,juvenile works,korean language materials,large type books,latin language materials,love,massachusetts children's book award winner,materiales en español,mice,newbery honor,newbery honor book,newbery medal,nouvelles,novela juvenil,open library staff picks,pets,pigs,porcs,protected daisy,readers,romans,spanish language,spanish language materials,spanish stories,spiders,stories,stuart little (fictitious character),swans,swine,tong hua,trumpeter swan,vida agrícola,women,accessible book,american farm life,amistad,animales domésticos,animals,araignées,arañas,authors,award winning books,blind,books and reading,cerdos,children's books,children's stories,chinese language materials,crianã§a,domestic animals,english,english (ie as school subject),english language,etc. pour la jeunesse,exploitations agricoles,fantasy,farm life,farms,ficción juvenil,folklore,for national curriculum key stage 2,french language materials,friendship,humorous stories,insects,italian,juvenile literature,juvenile works,korean language materials,large type books,latin language materials,love,massachusetts children's book award winner,materiales en español,mice,newbery honor,newbery honor book,newbery medal,nouvelles,novela juvenil,open library staff picks,pets,pigs,porcs,protected daisy,readers,romans,spanish language,spanish language materials,spanish stories,spiders,stories,stuart little (fictitious character),swans,swine,tong hua,trumpeter swan,vida agrícola,women,accessible book,american farm life,amistad,animales domésticos,animals,araignées,arañas,authors,award winning books,blind,books and reading,cerdos,children's books,children's stories,chinese language materials,crianã§a,domestic animals,english,english (ie as school subject),english language,etc. pour la jeunesse,exploitations agricoles,fantasy,farm life,farms,ficción juvenil,folklore,for national curriculum key stage 2,french language materials,friendship,humorous stories,insects,italian,juvenile literature,juvenile works,korean language materials,large type books,latin language materials,love,massachusetts children's book award winner,materiales en español,mice,newbery honor,newbery honor book,newbery medal,nouvelles,novela juvenil,open library staff picks,pets,pigs,porcs,protected daisy,readers,romans,spanish language,spanish language materials,spanish stories,spiders,stories,stuart little (fictitious character),swans,swine,tong hua,trumpeter swan,vida agrícola,women,accessible book,american farm life,amistad,animales domésticos,animals,araignées,arañas,authors,award winning books,blind,books and reading,cerdos,children's books,children's stories,chinese language materials,crianã§a,domestic animals,english,english (ie as school subject),english language,etc. pour la jeunesse,exploitations agricoles,fantasy,farm life,farms,ficción juvenil,folklore,for national curriculum key stage 2,french language materials,friendship,humorous stories,insects,italian,juvenile literature,juvenile works,korean language materials,large type books,latin language materials,love,massachusetts children's book award winner,materiales en español,mice,newbery honor,newbery honor book,newbery medal,nouvelles,novela juvenil,open library staff picks,pets,pigs,porcs,protected daisy,readers,romans,spanish language,spanish language materials,spanish stories,spiders,stories,stuart little (fictitious character),swans,swine,tong hua,trumpeter swan,vida agrícola,women,accessible book,american farm life,amistad,animales domésticos,animals,araignées,arañas,authors,award winning books,blind,books and reading,cerdos,children's books,children's stories,chinese language materials,crianã§a,domestic animals,english,english (ie as school subject),english language,etc. pour la jeunesse,exploitations agricoles,fantasy,farm life,farms,ficción juvenil,folklore,for national curriculum key stage 2,french language materials,friendship,humorous stories,insects,italian,juvenile literature,juvenile works,korean language materials,large type books,latin language materials,love,massachusetts children's book award winner,materiales en español,mice,newbery honor,newbery honor book,newbery medal,nouvelles,novela juvenil,open library staff picks,pets,pigs,porcs,protected daisy,readers,romans,spanish language,spanish language materials,spanish stories,spiders,stories,stuart little (fictitious character),swans,swine,tong hua,trumpeter swan,vida agrícola,women",1
Robb Johnstone,"accessible book,american farm life,amistad,animales domésticos,animals,araignées,arañas,authors,award winning books,blind,books and reading,cerdos,children's books,children's stories,chinese language materials,crianã§a,domestic animals,english,english (ie as school subject),english language,etc. pour la jeunesse,exploitations agricoles,fantasy,farm life,farms,ficción juvenil,folklore,for national curriculum key stage 2,french language materials,friendship,humorous stories,insects,italian,juvenile literature,juvenile works,korean language materials,large type books,latin language materials,love,massachusetts children's book award winner,materiales en español,mice,newbery honor,newbery honor book,newbery medal,nouvelles,novela juvenil,open library staff picks,pets,pigs,porcs,protected daisy,readers,romans,spanish language,spanish language materials,spanish stories,spiders,stories,stuart little (fictitious character),swans,swine,tong hua,trumpeter swan,vida agrícola,women",1
Emily Rodda,"histoire,history,adventure and adventurers,deltora (imaginary place),good and evil,magic,quests (expeditions),deltora (imaginary place),etc. pour la jeunesse,fantasmes,fantasy,juvenile literature,magic,nouvelles,quests (expeditions),romans,children's poetry,english,fairies,flowers,juvenile poetry,poetry,general,deltora (imaginary place),magic,magical thinking,quests (expeditions),english,french language,grammar,spanish language,textbooks for foreign speakers,deltora (imaginary place),ficción juvenil,magia,magic,magical thinking,quests (expeditions),acertijos,adivinanzas,fantasy,fantasía,ficción juvenil,heroes,heroes and heroines,héroes,magic,riddles,rowan (fictitious character),acertijos,adivinanzas,crystals,fantasy,fantasía,ficción juvenil,heroes,héroes,riddles,rowan (fictitious character),acertijos,adivinanzas,fantasy,fantasía,ficción juvenil,heroes,héroes,riddles,rowan (fictitious character),acertijos,adivinanzas,fantasy,fantasía,ficción juvenil,heroes,héroes,riddles,rowan (fictitious character),acertijos,adivinanzas,fantasy,fantasía,ficción juvenil,heroes,héroes,riddles,rowan (fictitious character),fantasy,heroes,heroes and heroines,rowan (fictitious character),children's stories,dragons,fantasy,magic,children's stories,dragons,fantasy,magic,deltora (imaginary place),dragons,fantasy,magic,sisters,deltora (imaginary place),dragons,fantasy,magic,sisters,mystery and detective stories, adventure, friendship, juvenile literature, fantasy,fantasy, adventure, friendship, magic",17
Diana Wynne Jones,"fairies,grandmothers,grandparents,magic,accelerated reader,boarding schools,ecoles,england,etc. pour la jeunesse,fantasy,magie,merveilleux,nouvelles,private schools,romans,schools,sorciers,witchcraft,witches,écoles",2
Linwood Barclay,"brothers and sisters,children's stories,fantasy,magic,witches",1
Cylita Guy,"accelerated reader,adventure,adventure and adventurers,adventure stories,books,british,children,children's,children's literature,children's stories,cousins,family life,fantasy,flucht,freundschaft,gefahr,governesses,history,juvenile,juvenile literature,kids,literature,mädchen,orphans,stories,teachers,wolves",1
Heather Ayris Burnell,"art,children's literature,detective and mystery stories,large print books,large type books,livres en gros caractères,mystery and detective stories,reading level-grade 4,reading level-grade 5,reading level-grade 6,reading level-grade 7,reading level-grade 8,books and reading, friendship, humor, adventure,juvenile literature, friendship, humor, fantasy,childrens stories, friendship, humor, fantasy, picture books",3
Ann Fullick,"animals,bilingual,chinese,english,friendship,picture book,picture books,asia,forest ecology",2
Daisy Meadows,"juvenile literature,machinery,trucks,birthday parties,birthdays,cake,cooking,fairies,fantasy,goblins,jack frost (legendary character),kirsty tate (fictitious character),magic,parties,color,emeralds,fairies,fantasy,jack frost (legendary character),lost and found possessions,magic,stealing,theft,fairies,singers,fairies,fantasy,lost and found possessions,lost articles,weather,fairies,fantasy,kirsty tate (fictitious character),musical instruments,rachel walker (fictitious character),animal babies,animals,cats,children's stories,etc. pour la jeunesse,fairies,fantasy,fantasy & magic,fees,friendship,infancy,kirsty tate (fictitious character),kittens,magic,nouvelles,pets,rachel walker (fictitious character),romans,social themes,fairies,kirsty tate (fictitious character),music,musical instruments,rachel walker (fictitious character),fairies,fantasy,jack frost (legendary character),kirsty tate (fictitious character),lost and found possessions,lost articles,magic,rachel walker (fictitious character),autism,fairies,magic,fairies,magic,teeth,fairies,fairies,fairies,beaches,bilingual,children's stories,chinese language materials,color,colores,colors,fairies,fantasy,ficción juvenil,hadas,christmas,christmas decorations,fairies,fantasy,goblins,holidays,kirsty tate (fictitious character),lost articles,magic,rachel walker (fictitious character),stars,fairies,fantasy,goblins,kirsty tate (fictitious character),magic,marine animals,rachel walker (fictitious character),sea stories,whales,fantasy, juvenile literature, friendship, adventure,fantasy, adventure, friendship, animals, magic,fantasy, juvenile literature, friendship, adventure,fantasy, juvenile literature, friendship, magic,fantasy, friendship, adventure, children's stories, magic,fantasy, friendship, adventure, magic, animals,fantasy, juvenile literature, friendship, adventure, magic",23
Daniel King,"fairies,magic,trees",1
Kekla Magoon,juvenile literature,1
Audrey Penn,"animals,forest animals,nocturnal animals,raccoon,sleepovers,american,animals,anxiety,child,children's stories,ficción juvenil,first day of school,forest animals,juvenile literature,kindergarten,mother-son relationship,mothers and sons,picture books,raccoon,raccoons,school stories,schools,spanish language materials,juvenile literature, friendship, animals",3
Melanie Watt,"english literature,history,sources,books,books and reading,etc. pour la jeunesse,livres d'images pour enfants,nouvelles,picture books for children,romans,biography,germany,holocaust,jewish (1939-1945),lesbians,anxiety,courage,etc. pour la jeunesse,fear,juvenile literature,livres d'images pour enfants,nouvelles,peur,picture books,picture books for children,romans,squirrels,écureuils,dreams,fear,sleep,squirrels,dreams,fear,sleep,squirrels,beaches,etc. pour la jeunesse,fear,livres d'images pour enfants,nouvelles,peur,picture books,picture books for children,romans,squirrels,écureuils,fear,squirrels,fear,squirrels,animals, adventure, friendship,animals, adventure, friendship,picture books, humorous stories, animals,humorous stories, adventure and adventurers, friendship, animals, picture books",11
Melaine Watt,"art de conter,cats,chats,etc. pour la jeunesse,livres d'images pour enfants,nouvelles,picture books,picture books for children,romans,storytelling,animals,authorship,cats,creative ability,humorous stories,pets,picture books for children,storytelling",1
