Authors,Genres,Number Of Books
Loreen Leedy,"great britain,history,home economics,marriage,nineteen fifties,social conditions,animals,english language,folklore,juvenile literature,terms and phrases",2
Cynthia (Cynthia J) O'Brien,"congresses,engineering",1
DK Publishing,"family life,imagination,play,climatic changes,environmental aspects,encyclopedias,juvenile,science,handbooks,juvenile literature,manuals,soccer,animals in art,drawing,horses,juvenile literature,technique,domestic animals,farm life,farms,juvenile literature,animals, juvenile literature, picture books, family,animals, juvenile literature, picture books, family,fantasy, childrens stories, friendship, environmental protection, animals",8
Mark Siegel,"mathematics,study and teaching (elementary),study and teaching (primary),study and teaching (secondary),fantasy, adventure, friendship, juvenile literature, graphic novels,fantasy, adventure and adventurers, juvenile literature, friendship, action and adventure,fantasy, adventure, friendship, juvenile literature, graphic novels,fantasy, adventure and adventurers, juvenile literature, friendship, action and adventure",3
Tanya Lloyd Kyi,"american literature,arctic regions,etc. pour la jeunesse,famille,father-son relationship,fathers,fathers and sons,nouvelles,picture books,pères et fils,romans,sleep,sommeil,toy and movable books,conduct of life,etc.,artistes,artists,biographies,biography,canadian,dictionaries,genetics,juvenile literature,science, health, childrens literature, humor,psychology, social themes, science, social life and customs,survival, extraordinary stories, adventure and adventurers, inspirational, true stories",7
Meg Cabot,"frogs,picture books,picture books for children,tadpoles,comic books,etc.,new york times reviewed,strips,behavior,best friends,families,family,family life,friendship,household moving,large type books,rules (philosophy),schools,collectionid:fearstreet,friendship,horror stories,horror tales,in-line skating,juvenile literature,skateboarding,snowboarding,amour,collectionid:fearstreet,friendship,ghost stories,girls,horror stories,horror tales,horror tales.,love,peur,romans,schools,diaries,high schools,humorous stories,large type books,new york (n.y.),princesses,schools,humorous stories, friendship, juvenile literature, schools, adventure,fantasy, friendship, adventure, mystery and detective stories, teenagers,humorous stories, friendship, juvenile literature, schools, adventure,fantasy, friendship, adventure, mystery and detective stories, teenagers,humorous stories, friendship, juvenile literature, school stories,romance, young adult, humor,comedy, young adult, romance, friendship, school stories",12
Ellen Schwartz,"general,historical,mystery & detective,suspense,thrillers,baseball,friendship,clothing factories,employees,general,immigrants,poor families,russian jews,social conditions,strikes and lockouts,sweatshops,clothing factories,employees,general,immigrants,poor families,russian jews,social conditions,strikes and lockouts,sweatshops,clothing factories,employees,general,immigrants,poor families,russian jews,social conditions,strikes and lockouts,sweatshops",3
Susan J Schneck,"birds,etc. pour la jeunesse,friendship,intergenerational relations,livres d'images pour enfants,nouvelles,origami,picture books for children,romans,saisons,seasons",1
Per-Henrik Gurth,"alphabet,alphabet books,english language,juvenile literature,general,histoire,history,humor,politics and government,politique et gouvernement",2
Roger Priddy,"alphabet,alphabet books,canada,english language,juvenile literature",1
Rachel Isadora,"juvenile literature,occupations,professions,books,children,children's,fairy tales,fantasy,juvenile,juvenile literature,kid's,picture books,princess,princesses,puzzles,stories,toy and movable books,juvenile literature, friendship, picture books, humor",3
