#,Call No,Title,Authors,Barcode,Price,Status,Date Created,Genre
416,001.9 ROO,Alien abduction,Anne. Rooney,30385038516596,$10.00,In,"2020,04,25","1832-1898,accessible book,adventure and adventurers,adventure stories,affirmation de soi,animals,books and reading,carroll,children,children's literature,children's stories,chinese,chinese language,classic literature,classics,collections,coloring books,conduct of life,contes de fées,courts,courts and courtiers,criticism and interpretation,crocheting,curiosity,decision making,dreams,enfants,english,english adventure stories,english fantasy literature,english language,english literature,english nonsense verses,etc. pour la jeunesse,evolution,fairy tales,fantasmes,fantastique,fantasy,fantasy & magic,fantasía,ficción juvenil,friendship,general,girls,high interest-low vocabulary books,histoires pour enfants anglaises,history,history and criticism,humor,humorous stories,humour pour la jeunesse,illustrations,imaginary places,imagination,imagination & play,internet archive wishlist,juvenile literature,juvenile wit and humor,large type books,legends,lewis,lewis),literatura infanto-juvenil,literatura inglesa,literature,logic,lugares imaginarios,morale pratique,mythical animals,new york times bestseller,nonsense verses,nouvelles,novela,novela fantástica,novela juvenil,open library staff picks,picture books,prise de décision,protected daisy,rabbits,readers,readers for new literates,reading materials,romans,russian language,shao er du wu,short stories (single author),spanish language,spanish language materials,suo xie,swahili language,tea,textbooks for foreign speakers,texts,theft,tong hua,toy and movable books,translations into irish,translations into polish,vol (droit),xiao shuo,ying yu"
427,F NAN,Alina in a pinch,Shenaaz. Nanji,30385000001400,$0.00,In,"2023,11,02","clothing and dress,extraterrestrial beings,humorous stories,pictorial works,stories in rhyme,underwear"
429,E LUN,All aboard the dinotrain,Deb. Lund,30385038515025,$8.00,In,"2020,04,25","emperor penguin,juvenile literature"
430,940.5318092,All about Anne,Menno. Metselaar,30385000000259,$0.00,In,"2021,11,03","board books,dinosaurs,railroad trains,railroads,stories in rhyme,toy and movable books,trains,travel"
535,E KAT,All about the dragons,Judy Katschke,30385038520375,$5.00,In,"2020,04,26","geometry,juvenile literature,shape"
538,F STI,All because of a cup of coffee,Geronimo. Stilton,30385000000895,$0.00,In,"2023,10,04","multiculturalism,new york times bestseller,schools,stories in rhyme"
542,E EAS,All hands on deck,Marilyn. Easton,30385000000828,$0.00,In,"2023,10,02","american,animals,behavior,brothers and sisters,children's stories,children: babies toddlers,fathers,self-reliance"
543,398.20938 OTF,"All in the family : a look-it-up guide to the in-laws, outlaws, and offspring of mythology",Steven. Otfinoski,30385038518191,$18.00,In,"2020,04,26","human-alien encounters,time travel"
547,E WIN COM,All Our Love,KariLynn Winters,30385000003830,$10.00,In,"2024,06,12","collectionid:fearstreet,friendship,ghost stories,horror stories,horror tales,islands,mystery and detective stories,parties"
549,LYO,All-season Edie,Annabel. Lyon,30385038518380,$9.00,In,"2020,04,26","anecdotes,domestic animals,juvenile literature,pigs,swine"
550,F CHR,All-Star fever : a Peach Street Mudders story.,Matt. Christopher,30385038501974,$1.00,In,"2020,04,25","etc. pour la jeunesse,families,famille,family,identity (psychology),nouvelles,romans"
555,798 SOO,All Thirteen : The Incredible Cave Rescue of the Thai Boys' Soccer Team.,Christina Soontornvat,30385000001087,$25.00,Out,"2023,10,05","history,performing arts,theater"
557,F ROT,Allegiant,Veronica Roth,30385000000362,$22.00,In,"2021,11,13","adolescence,amerikanisches englisch,basic reader,bestseller,courage,dystopian,dystopian ya,dystopias,families,family,family life,future,girls & women,identity,identity (philosophical concept),identity (psychology),large type books,love,loyalty,readers,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 8,reading level-grade 9,roman,sci-fi,social classes,social issues,ya,young adult"
558,F BEN,The Allegra biscotti Collection,Olivia Bennett,30385000001341,$9.00,In,"2023,11,30","adolescence,amerikanisches englisch,basic reader,bestseller,courage,dystopian,dystopian ya,dystopias,families,family,family life,future,girls & women,identity,identity (philosophical concept),identity (psychology),large type books,love,loyalty,readers,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 8,reading level-grade 9,roman,sci-fi,social classes,social issues,ya,young adult"
559,GN 741.5 LLO,Allergic,Megan Wagner Lloyd,30385000000938,$17.00,In,"2023,10,23",secrecy
560,F CAB,Allie Finkle's Rules for Girls,Meg. Cabot,30385038517319,$5.00,In,"2020,04,26","comic books,etc.,new york times reviewed,strips"
562,F CAB,Allie Finkle's Rules for Girls. Moving Day,Meg Cabot,30385038517427,$5.00,In,"2020,04,26","behavior,best friends,families,family,family life,friendship,household moving,large type books,rules (philosophy),schools"
563,F GRA,Allies,Alan Gratz,30385000000373,$0.00,In,"2021,11,13","behavior,best friends,families,family,family life,friendship,household moving,large type books,rules (philosophy),schools"
564,F GRA,Allies,Alan Gratz,30385000000856,$0.00,In,"2023,10,02","best friends,conduct of life,darren (personnage fictif),darren shan (fictitious character),etc. pour la jeunesse,exhibitions de monstres,freak shows,friendship,horror stories,horror tales,larten crepsley (fictitious character),nouvelles,romans,school stories,schools,shan,spiders,vampires"
565,F SHA,Allies of the Night,Darren. Shan,30385038515628,$13.00,In,"2020,04,25","best friends,conduct of life,darren (personnage fictif),darren shan (fictitious character),etc. pour la jeunesse,exhibitions de monstres,freak shows,friendship,horror stories,horror tales,larten crepsley (fictitious character),nouvelles,romans,school stories,schools,shan,spiders,vampires"
566,597.98 JOH,Alligator,Jinny. Johnson,30385038514333,$0.00,In,"2020,04,26","best friends,conduct of life,darren (personnage fictif),darren shan (fictitious character),etc. pour la jeunesse,exhibitions de monstres,freak shows,friendship,horror stories,horror tales,larten crepsley (fictitious character),nouvelles,romans,school stories,schools,shan,spiders,vampires"
567,E MUN,Alligator baby,Robert N. Munsch,30385038501334,$1.00,In,"2020,04,25","alligators,american literature,animals,babies,brothers and sisters,humorous stories,infancy,infants,parent and child,zoo animals"
568,E MUN,Alligator baby,Robert N. Munsch,30385038501357,$1.00,Lost,"2020,04,25","alligators,american literature,animals,babies,brothers and sisters,humorous stories,infancy,infants,parent and child,zoo animals"
569,E MUN,Alligator baby,Robert N. Munsch,30385038513450,$1.00,In,"2020,04,26","alligators,american literature,animals,babies,brothers and sisters,humorous stories,infancy,infants,parent and child,zoo animals"
570,E MUN,Alligator baby,Robert N. Munsch,30385000000992,$1.00,In,"2023,11,02","alligators,american literature,animals,babies,brothers and sisters,humorous stories,infancy,infants,parent and child,zoo animals"
571,E RYL,Alligator Boy,Cynthia. Rylant,30385038514404,$16.00,In,"2020,04,26","alligators,american literature,animals,babies,brothers and sisters,humorous stories,infancy,infants,parent and child,zoo animals"
572,597.98 FAI,Alligators and other crocodilians,Gari D. Fairweather,30385038512195,$15.00,In,"2020,04,26","alligators,dogs,habits and behavior,stories in rhyme"
574,F SYL,The Almost Epic Squad: Mucus Mayhem,Kevin Sylvester,30385038521413,$15.00,In,"2020,04,25","alligators,crocodiles,juvenile literature"
578,428.1 PEA,"Alphabeep : a zipping, zooming ABC",Debora. Pearson,30385038515123,$9.00,In,"2020,04,25","alphabet,animals,children: grades 1-2,stories in rhyme"
