#,Call No,Title,Authors,Barcode,Price,Status,Date Created,Genre
7666,F HOR,Nightrise,Anthony Horowitz,30385038514291,$22.00,In,2020/04/25,"brothers,supernatural,telepathy,twins"
7667,E DAC,Nighttime Ninja,Barbara DaCosta,30385038519471,$6.00,In,2020/04/26,"bedtime,imagination,martial arts,ninja"
7668,E OCO,"Nina, Nina ballerina ",Jane. O'Connor,30385038513797,$6.00,In,2020/04/25,"ballet,ballet dancing,dance,honesty"
7675,F DIT,Nixie's song,Tony. DiTerlizzi,30385038514700,$13.00,In,2020/04/26,"brothers and sisters,fairies,giants,magic,siblings,stepfamilies,supernatural"
7681,F SUS,No Fixed Address : No Fixed Address.,Susin Nielsen,30385038521467,$21.00,In,2020/04/26,american literature
7690,F KEE,No strings attached,Carolyn. Keene,30385038509618,$7.50,In,2020/04/26,"detective and mystery stories,france,french,mystery"
7692,819.1 FIT,No two snowflakes,Sheree. Fitch,30385038510050,$0.00,In,2020/04/25,snow
7693,F COH,No vacancy,Tziporah Cohen,30385000000481,$0.00,In,2022/01/24,"friendship,girls"
7696,F FRI,Nobody's Princess,Esther Friesner,30385038519898,$9.99,In,2020/04/26,"adventure and adventurers,adventure stories,greek mythology,history,sex role"
7697,F FRI,Nobody's prize,Esther M. Friesner,30385038519904,$10.00,In,2020/04/26,"adaptations,adventure and adventurers,greek mythology,history,sex role"
7698,E YOL,Nocturne,Jane. Yolen,30385038501837,$1.00,In,2020/04/25,"comic books,comics & graphic novels,fantasy,general,graphic novel,graphic novels,horror,literature,long now manual for civilization,missing persons,new york times bestseller,strips"
7701,E JEF,None the Number,Oliver Jeffers,30385038519723,$20.00,In,2020/04/25,"adventure and adventurers,counting,juvenile literature,number concept,pictorial works,picture books"
7702,E HAR,Noni says no,Heather. HarttSussman,30385038518633,$20.00,In,2020/04/26,"anger,assertiveness (psychology),friendship,self-confidence,self-perception"
7704,970.01 GRE,North America,Shirley. Greenway,30385038518521,$20.00,In,2020/04/26,"bibliography,description and travel,discovery and exploration,history,indians of north america,missions,sources"
7705,970 BRA,North America and the Caribbean,Martyn. Bramwell,30385038507314,$0.00,In,2020/04/25,"juvenile literature,maps,north america"
7706,F KES,North of Nowhere,Liz Kessler,30385038519235,$15.00,In,2020/04/25,"children's stories,families,friendship,grandparents,missing persons,mystery and detective stories"
7709,971.9 MAR,Northwest Territories,Diana. Marshall,30385038520702,$11.95,In,2020/04/26,"description and travel,discovery and exploration,geology"
7710,971.9 MAR,Northwest Territories,Diana. Marshall,30385038507316,$0.00,In,2020/04/26,"description and travel,discovery and exploration,geology"
7722,E POR,Not a stick,Antoinette. Portis,30385038519017,$12.00,In,2020/04/26,"etc.),imagination,pigs,play,swine"
7723,E YOL,Not all princesses dress in pink,Jane. Yolen,30385038518002,$20.00,In,2020/04/26,"girls,individuality,princesses,sex role,stories in rhyme"
7725,PRI,"Not Fair, Clare",Yvonne Prinz,30385038515563,$11.00,In,2020/04/25,"adolescentes,amis,best friends,etc. pour la jeunesse,imaginary companions,nouvelles,popularity,popularité,romans,teenage girls"
7726,F IBB,Not just a witch,Eva. Ibbotson,30385038511589,$8.50,In,2020/04/25,"animals,friendship,humorous stories,witches"
7733,E BAR,Not Your Typical Dragon,Dan Barel,30385038521197,$16.99,In,2020/04/26,"dragons,individuality,picture books for children,self-acceptance"
7736,F PAU,Notes from the dog,Gary. Paulsen,30385038518331,$8.00,Lost,2020/04/25,"cancer,gardening,neighbors,self-confidence"
7737,819.1 LES,Nothing beats a pizza,Loris. Lesynski,30385038507318,$0.00,In,2020/04/26,"canadian (english),canadian poetry,children's poetry,livres d'images pour enfants,picture books for children,poetry"
7738,F COL,Nothing but net,Michael. Coldwell,30385038505101,$0.00,In,2020/04/26,basketball
7741,971.2 BEC,Nova Scotia,Harry Beckett,30385038520696,$7.95,In,2020/04/25,"genealogy,passenger lists,reference,registers of births,ships"
7742,971.6 BEC,Nova Scotia,Harry Beckett,30385038507319,$0.00,In,2020/04/25,"genealogy,passenger lists,reference,registers of births,ships"
7744,F MAZ,"Now you see it, now you don't ",Anne. Mazer,30385038515484,$7.00,In,2020/04/26,"diplomatic relations,foreign relations,international relations and terrorism"
7745,F MAZ,"Now you see it, now you don't ",Anne. Mazer,30385038512796,$7.00,In,2020/04/25,"diplomatic relations,foreign relations,international relations and terrorism"
7746,F MAZ,"Now you see it, now you don't ",Anne. Mazer,30385038515049,$7.00,In,2020/04/25,"diplomatic relations,foreign relations,international relations and terrorism"
7764,792.842 KAI,Nutcracker,Karen Kain,30385038514218,$25.00,In,2020/04/26,"1564-1616,adventure and adventurers,anecdotes,ballet,brothers and sisters,children's stories,christmas,christmas stories,contes de fées,dolls,etc.,fairy tales,first loves,folklore,general,german,juvenile literature,magic,mice,plots,shakespeare,stories,war stories,william"
7770,F KIN,OCDaniel,Wesley King,30385038520353,$23.00,In,2020/04/26,"adventure and adventurers,adventure stories,mental illness,obsessive-compulsive disorder"
7771,551.46 MACQ,Ocean,Miranda. MacQuitty,30385038500186,$1.00,In,2020/04/26,"bien,bien y mal,boys,coming of age,early memories,english literature,esprits,fantastische literatur,fantasy,ficción,general,good and evil,habiletés de survie,horror tales,horrorroman,large print books,large type books,livres en gros caractères,magia,magic,mal,memoria,memory,muchachos,mujeres,new york times bestseller,new york times reviewed,nouvelles,novela,premiers souvenirs,retour au foyer,romans,secrets de famille,sorcières,souvenir,souvenirs retrouvés,supervivencia,survival,women"
7772,591.77 GRA,Ocean,Samantha. Gray,30385038507323,$0.00,In,2020/04/25,"bien,bien y mal,boys,coming of age,early memories,english literature,esprits,fantastische literatur,fantasy,ficción,general,good and evil,habiletés de survie,horror tales,horrorroman,large print books,large type books,livres en gros caractères,magia,magic,mal,memoria,memory,muchachos,mujeres,new york times bestseller,new york times reviewed,nouvelles,novela,premiers souvenirs,retour au foyer,romans,secrets de famille,sorcières,souvenir,souvenirs retrouvés,supervivencia,survival,women"
7774,591.77 HIR,Ocean hunters,Kris Hirschmann,30385038506601,$0.00,In,2020/04/25,"monsters,robots"
7775,F SHA,Ocean of Blood,Darren Shan,30385038518655,$14.00,In,2020/04/25,"horror stories,vampires"
7777,LAU,"Octopus Is Amazing, An",Patricia. Lauber,30385038502992,$0.00,In,2020/04/25,"juvenile literature,octopus,octopuses"
7778,LAU,"Octopus Is Amazing, An",Patricia. Lauber,30385038502996,$0.00,In,2020/04/26,"juvenile literature,octopus,octopuses"
7779,LAU,"Octopus Is Amazing, An",Patricia. Lauber,30385038502997,$0.00,In,2020/04/25,"juvenile literature,octopus,octopuses"
7780,LAU,"Octopus Is Amazing, An",Patricia. Lauber,30385038502998,$0.00,In,2020/04/25,"juvenile literature,octopus,octopuses"
7781,LAU,"Octopus Is Amazing, An",Patricia. Lauber,30385038502999,$0.00,In,2020/04/26,"juvenile literature,octopus,octopuses"
7782,F DOW,Oculum,PHILIPPA. DOWDING,30385038521484,$13.00,In,2020/04/25,"catalogs,diseases,equipment and supplies"
7783,E GRA,The Odd Egg,Emily Gravett,30385038516642,$0.00,In,2020/04/25,"birds,ducks,eggs"
7787,F ELL,Odd Man Out,Sarah. Ellis,30385038514503,$10.00,In,2020/04/26,general
7789,E WHA,Oddrey,Dave. Whamond,30385038519275,$18.00,In,2020/04/26,"girls,identity,imagination,individualism,individuality,interpersonal relations,school stories,schools,teasing,theater"
7790,F GHE,The Odds Get Even,Natale Ghent,30385038516894,$14.99,In,2020/04/26,"specimens,toy and movable books"
7791,971.8 BUT,Ode to Newfoundland,Geoff Butler,30385038510774,$21.00,In,2020/04/26,"juvenile literature,miscellanea,miscellanées,ouvrages pour la jeunesse,songs and music"
7795,F MAD,Off the bench,Jake. Maddox,30385038518400,$6.00,In,2020/04/26,"general,mystery & detective,suspense,thrillers"
7797,E BOO,Off to school,David. Booth,30385038516486,$5.00,Out,2020/04/26,"ducklings,ducks,fear,first day of school,grandfathers,grandparents,ouvrages illustrés,peur,rentrée scolaire,écoles"
7798,818.602 PAR,The Official DC Super Hero Joke Book,Sarah. Parvis,30385038521024,$15.00,Lost,2020/04/25,"comics & graphic novels,general"
7799,F WHI,Official Guide to Legendary and Mythical Pokémon,Simcha Whitehill,30385000000931,$12.00,In,2023/10/02,"games,juvenile literature,pokemon (game)"
7801,F POK,The official Pokémon handbook,Maria S. Barbo,30385038521544,$0.00,In,2021/10/12,"juvenile literature,literatura juvenil,pokemon (game),pokémon (game),video games"
7803,F POK,The official Pokémon handbook #3,,30385000000594,$0.00,In,2022/01/25,"games,juvenile literature,pokemon (game),pokémon (game),video games"
7805,F KRU,"Oh, Baby! #3 ",Nancy E. Krulik,30385038517968,$5.00,In,2020/04/26,"babies,girls,humorous stories,infants,interpersonal relations,magic,schools,sex role,sisters"
7806,971 GUR,"Oh, Canada!",PerHenrik Gurth,30385038517004,$14.95,In,2020/04/26,"general,histoire,history,humor,humour,politics and government,politique et gouvernement"
7809,E SEU,Oh say can you say?,Dr. Seuss,30385038511199,$15.00,Lost,2020/04/25,"nonsense verses,stories in rhyme,tongue twisters"
7811,553.2 ZRO,Oil and gas,John Paul Zronik,30385038512391,$25.00,In,2020/04/25,"chemistry,economic aspects,environmental aspects,industries,science"
7812,553.2 MOR,Oil and gas,Neil Morris,30385038513121,$20.00,In,2020/04/26,"chemistry,economic aspects,environmental aspects,industries,science"
7814,E BER,OK go,Carin. Berger,30385038518081,$24.00,In,2020/04/26,family
7820,E WIN,Old woman who loved to read,John Winch,30385038501861,$1.00,In,2020/04/25,books and reading
7821,E EVA,Olivia and the Easter egg hunt,Cordelia. Evans,30385038519520,$6.00,In,2020/04/25,"easter,easter stories,families,olivia (fictitious character : falconer),pigs,swine"
7823,E FAL,Olivia forms a band,Ian Falconer,30385038513501,$0.00,In,2020/04/26,"families,family,family life,fourth of july,olivia (fictitious character : falconer),pigs,swine"
7824,E FAL,Olivia goes to Venice,Ian Falconer,30385038518006,$21.00,In,2020/04/26,"italy,pictorial works,pigs,vacations"
7826,F POT,Olivia Kidney stops for no one,Ellen Potter,30385038514925,$8.99,In,2020/04/25,family
7827,E FAL,Olivia,Ian. Falconer,30385038509456,$27.00,In,2020/04/26,"behavior,cerdos,children,collectionid:caldecotthonor00,conduct of life,ficción juvenil,german language,girls,juguetes,juvenile literature,lost and found possessions,objetos perdidos,olivia (fictitious character : falconer),pictorial american wit and humor,pictorial works,pigs,spanish language materials,swine,toys"
7828,E FAL,Olivia,Ian. Falconer,30385038505729,$27.00,In,2020/04/26,"behavior,cerdos,children,collectionid:caldecotthonor00,conduct of life,ficción juvenil,german language,girls,juguetes,juvenile literature,lost and found possessions,objetos perdidos,olivia (fictitious character : falconer),pictorial american wit and humor,pictorial works,pigs,spanish language materials,swine,toys"
7829,F MEA,Olympia the games fairy,Daisy. Meadows,30385038519232,$7.00,In,2020/04/26,"fairies,fantasy,jack frost (legendary character),kirsty tate (fictitious character),lost and found possessions,lost articles,magic,rachel walker (fictitious character)"
7832,E KOV,Omar on ice,Maryann. Kovalski,30385038502556,$5.95,In,2020/04/25,"art,artistes,artists,bears,drawing,etc. pour la jeunesse,friendship,frustration,ice skating,nouvelles,readers (elementary),romans,romans pour la jeunesse,schools,skating"
7833,E BOU,Oma's Quilt,Paulette. Bourgeois,30385038508117,$18.95,In,2020/04/26,"etc. pour la jeunesse,family life,grandmothers,grandparents,grands-meres,grands-parents et enfants,homesickness,juvenile literature,livres d'images pour enfants,mothers and daughters,nouvelles,nursing homes,quilting,quilts,romans"
7834,E MUR,"On a tall, tall cliff ",Andrew. Murray,30385038511794,$25.00,In,2020/04/25,"children's stories,pictorial works,rocks"
7836,E BUN,On Call Back Mountain,Eve Bunting,30385038501297,$1.00,In,2020/04/25,"brothers,death,friendship,mountain life,picture books,wolves"
7837,525 KAR,On Earth,G. Brian Karas,30385038518278,$7.99,In,2020/04/26,"1933-1945,1939-1945,australia,germany,happiness,history,holocaust,holocaust survivors,immigrants,jewish (1939-1945),jews,new york times bestseller,personal narratives,world war"
7838,[FIC] MAD,On guard,Jake. Maddox,30385038518623,$7.00,In,2020/04/26,"crime,general,mystery & detective,private investigators"
7842,796.22 SKA,On the Edge Snowboarding,,30385038514532,$0.00,In,2020/04/25,"skateboarding,snowboarding,sports"
7846,YA COC,On the Line,Paul Coccia,30385000001327,$15.00,In,2023/11/30,leadership
7857,F O'M,Once upon a cool motorcycle dude,Kevin O'Malley,30385038519650,$18.00,In,2020/04/25,"authorship,fairy tales,giants,humorous stories,motorcycles,princesses"
7864,E JEF,Once Upon an Alphabet,OLIVER JEFFERS,30385038519713,$27.00,In,2020/04/25,"alphabet,alphabet books,english short stories,juvenile literature,llibres per a infants,new york times bestseller,picture books,short stories"
7865,E OTO,One,Kathryn Otoshi,30385038518263,$17.00,In,2020/04/26,"atomic bomb,general,literature,nuclear warfare,rock music,roman,united states,united states. navy"
7866,E OTO,One,Kathryn Otoshi,30385038518001,$22.00,In,2020/04/25,"atomic bomb,general,literature,nuclear warfare,rock music,roman,united states,united states. navy"
7868,F APP,One and only Ivan,Katherine Applegate,30385038518910,$11.00,In,2020/04/26,"amistad,animal welfare,animals,award:newbery_award,circus,elefantes,elephants,ficción juvenil,friendship,gorilas,gorilla,monkeys,new york times bestseller,newbery medal,social themes,spanish language materials,treatment,zoos"
7869,635 ROC,One bean,Anne. Rockwell,30385038501597,$1.00,In,2020/04/26,"children: grades 1-2,gardening,juvenile literature"
7870,F TIM,One Came Home,Amy Timberlake,30385038520036,$7.99,In,2020/04/25,"adventure and adventurers,counterfeits and counterfeiting,frontier and pioneer life,history,missing persons,wisconsin"
7871,E BUN,One candle,Eve Bunting,30385038510766,$25.00,In,2020/04/25,"chemistry,experiments,fire,history,juvenile literature"
7872,FWIL,One Crazy Summer,WilliamsGracia Rita,30385038518705,$6.00,In,2020/04/25,"1000blackgirlbooks,20th century,african americans,age:max:11,age:min:9,award:newbery_award,california,civil rights movements,grade:max:7,grade:min:3,history,lexile_range:701-800,mothers,new york times bestseller,new york times reviewed,newbery honor,poets,sisters,united states"
7875,F BRO,One day you'll know,Lauren. Brooke,30385038515428,$0.00,In,2020/04/25,"children,grief,horse farms,horses,interpersonal relations"
7877,FCOA,The One-Eyed Giant,Lucy Coats,30385038518650,$10.00,In,2020/04/25,"adaptations,adventure and adventurers,greek mythology,juvenile literature"
7878,F KOR,One false note,Gordon. Korman,30385038516899,$15.00,In,2020/04/26,"adventure and adventurers,brothers and sisters,ciphers,mystery and detective stories,new york times bestseller"
7880,E SEU,ONE FISH,DR.SEUSS,30385038520709,$1.00,In,2020/04/25,"animals,classics,concepts,cuentos en rima,fantasy.,ficción juvenil,fishes,high interest-low vocabulary books,history and criticism,humorous stories,imagination,large type books,littérature pour la jeunesse anglaise,music,nonsense verses,peces,pets,picture books,spanish language materials,stories in rhyme"
7883,629.45 BUR,One giant leap,Robert. Burleigh,30385038518252,$16.99,In,2020/04/25,"history,juvenile literature,space flight to the moon"
7885,E DUK,One guinea pig is not enough,Kate. Duke,30385038501130,$2.00,In,2020/04/25,"counting,counting books,guinea pigs,juvenile literature,mathematics"
7888,513.2 PIN,One hundred hungry ants,Elinor J. Pinczes,30385038518273,$9.00,In,2020/04/25,"ants,division,insects,stories in rhyme"
7889,E ROC,One hungry cat,Joanne. Rocklin,30385038512712,$4.99,In,2020/04/25,"baking,cats,division"
7891,513.2 TOF,One less fish,Kim Michelle. Toft,30385038500035,$1.00,In,2020/04/25,"counting,environmental protection,fishes,juvenile literature"
7892,E MAR,One love,Cedella. Marley,30385000000381,$0.00,In,2022/01/20,"general,man-woman relationships,mate selection,new york times bestseller,romance,triangles (interpersonal relations)"
7897,577.69 BRE,One small place by the sea,Barbara. Brenner,30385038511737,$24.00,In,2020/04/25,"ecology,juvenile literature"
7898,577.3 BRE,One small place in a tree,Barbara. Brenner,30385038511744,$24.00,In,2020/04/25,"animals,ecology,forest animals,forest ecology,habitations,juvenile literature,trees"
7901,E DAV,One tiny turtle,Nicola Davies,30385038519125,$7.00,In,2020/04/26,"juvenile literature,turtles"
7902,553.7 STR,One Well,Rochelle Strauss,30385038514267,$20.00,In,2020/04/25,"anglais (langue),english language,report writing,rhetoric,technique,writing"
7904,305.23 KER,"One world, one day",Barbara. Kerley,30385038518135,$17.95,In,2020/04/25,"children,juvenile literature,pictorial works,social life and customs"
7905,513.211 JOC,Ones and twos,Marthe. Jocelyn,30385038518236,$18.00,In,2020/04/25,readers
7922,SHA,Ooko,Esme Shapiro,30385038521113,$16.99,In,2020/04/26,"foxes,juvenile literature,picture books"
7924,E BRI,"Oops, Clifford!",Norman. Bridwell,30385038503543,$4.25,In,2020/04/26,"clifford,dogs,the big red dog (fictitious character)"
7929,F MAC,Operatic,Kyo Maclear,30385038521463,$0.00,In,2020/04/26,"geschichte,opera,political science,popular culture,social science"
7933,F MOW,Operation Red Jericho,Joshua. Mowll,30385038515083,$10.00,In,2020/04/25,"adventure and adventurers,brothers and sisters,china,history,secret societies,ships,uncles"
7936,F ODE,Ophie out of Oz,Kathleen O'Dell,30385038513330,$9.00,In,2020/04/26,"best friends,friendship,household,household moving,moving,schools"
7938,F ROY,Orange outlaw,Ron Roy,30385038507826,$5.50,In,2020/04/26,"action & adventure,art,art thefts,chapter books,detective and mystery stories,dink duncan (fictitious character),mysteries & detective stories,mystery and detective stories,reader,robbers and outlaws"
7939,F ROY,Orange outlaw,Ron Roy,30385038506867,$5.50,In,2020/04/26,"action & adventure,art,art thefts,chapter books,detective and mystery stories,dink duncan (fictitious character),mysteries & detective stories,mystery and detective stories,reader,robbers and outlaws"
7940,E GRA,Orange Pear Apple Bear,Emily. Gravett,30385038514138,$15.00,In,2020/04/25,bears
7945,F HUG,Orphaned beluga,Susan Hughes,30385038515023,$6.00,In,2020/04/25,"animals,helpfulness,treatment,whales"
7949,E SIM,Oskar and the eight blessings,Richard Simon,30385038521286,$21.00,In,2020/04/26,"hanukkah,holocaust,jewish (1939-1945),jews,kindness,refugees"
7951,FIC WAR,Other Words for Home,,30385000001332,$0.00,In,2023/11/30,"age:max:12,age:min:9,award:newbery_award,emigration and immigration,grade:max:7,grade:min:3,halloween,immigrants,new york times bestseller,newbery honor,novels in verse,refugee children"
7952,FIC WAR,Other Words for Home,,30385000001329,$0.00,In,2023/11/30,"age:max:12,age:min:9,award:newbery_award,emigration and immigration,grade:max:7,grade:min:3,halloween,immigrants,new york times bestseller,newbery honor,novels in verse,refugee children"
7954,E BYN,Otis,Janie. Bynum,30385038505384,$0.00,In,2020/04/25,"accelerated reader,boys,children's stories,children: babies toddlers,children: grades 4-6,comedians,friendship,humorous stories,juvenile audience,juvenile works,mischief,problem children,school stories,schools"
7960,155 HIB,Our busy lives,Clare. Hibbert,30385038518801,$21.00,In,2020/04/26,"aging,juvenile literature,time"
7961,929.90971 TRO,Our Canadian flag,Maxine. Trottier,30385038511945,$21.00,In,2020/04/25,"juvenile literature,ouvrages pour la jeunesse"
7962,929.90971 TRO,Our Canadian flag,Maxine. Trottier,30385038510754,$21.00,In,2020/04/26,"juvenile literature,ouvrages pour la jeunesse"
7970,E BUN,Our Library,Eve Bunting,30385038516275,$16.00,In,2020/04/26,"animals,books and reading,libraries,raccoon,raccoons"
7974,GEO,Out,Angela May George,30385038521114,$15.00,In,2020/04/26,"1903-1950,20th century,authors,autores,biography,english,ficción,france,george,great britain,history,homelessness,literature,london (england),modern,orwell,paris (france),personal memoirs,poor,social classes,social conditions,social history,sociology"
7977,E ARC,Out of reach,Carrie. Arcos,30385000000360,$0.00,In,2021/11/13,"disability,in library,jealousy,protected daisy"
7978,F MAZ,"Out of sight, out of mind ",Anne. Mazer,30385038509614,$7.00,In,2020/04/26,"man-woman relationships,telepathy"
7981,F SHE,Out of the ashes,Valerie. Sherrard,30385038509361,$13.00,In,2020/04/25,"american,espionage,general,mystery & detective,thrillers"
7985,F BRO,Out of the Darkness,Lauren Brooke,30385038515424,$4.99,In,2020/04/26,"afghanistan,extraterrestrial beings,general,human beings,human-alien encounters,life on other planets,soldiers,space warfare,vampires,war & military"
7986,E FRA,Out of the ocean,Debra. Frasier,30385038501117,$16.00,In,2020/04/25,"beaches,marine animals,nature,nature stories,nature study,ocean,picture books for children"
7989,F KRU,Out to lunch,Nancy E. Krulik,30385038517969,$5.00,In,2020/04/25,"animals,beginner,behavior,conduct of life,family,frogs,frogs & toads,human behavior,humorous stories,parents,picture books,reader,restaurants,stories in rhyme"
7990,F GOL,Outcast,Christopher; Sniegoski Golden,30385038516355,$5.00,In,2020/04/26,"adventure and adventurers,adventure stories,brothers and sisters,cats,fantasy,feral cats,series:warriors_the_power_of_three,siblings"
7991,F PAV,Outcast,Michelle. Paver,30385038515107,$10.00,In,2020/04/26,"adventure and adventurers,adventure stories,brothers and sisters,cats,fantasy,feral cats,series:warriors_the_power_of_three,siblings"
7992,F LAS,The Outcast,Kathryn Lasky,30385038516279,$5.99,In,2020/04/26,"classic literature,large type books,seafaring life,short stories,titanic (steamship)"
7994,F FLA,Outcasts,John Flanagan,30385038519239,$22.00,In,2020/04/25,"adventure and adventurers,adventure stories,brothers and sisters,cats,fantasy,feral cats,series:warriors_the_power_of_three,siblings"
8003,F HIN,Outsiders,S. E. Hinton,30385038511285,$10.95,Lost,2020/04/25,"alienation (social psychology),boys,boys & men,brothers,bullying,determination (personality trait),détermination (trait de personnalité),etc. pour la jeunesse,families,familles,family,family life,friendship,frères,gangs,individuality,individualité,intimidation,juvenile works,large type books,nouvelles,open_syllabus_project,orphans,readers,reading level-grade 10,reading level-grade 11,reading level-grade 12,reading level-grade 7,reading level-grade 8,reading level-grade 9,romans,spanish language,superheroes,teenagers,violence"
8010,F SKU,Overtime,David. Skuy,30385038519246,$8.00,In,2020/04/25,"general,romance"
8019,E YOL,Owl moon,Jane. Yolen,30385038509523,$25.00,In,2020/04/26,"accelerated reader,adventure and adventurers,age:min:2,award:caldecott_award,birds,caldecott medal,children's audiobooks,collectionid:caldecott80,courage,environment,father-daughter relationship,fathers and daughters,friendship,grade:max:2,grade:min:preschool,hope,lexile_range:501-600,nature & the natural world,nature stories,new york times reviewed,night,obedience,owls,winter"
8020,598.9 REI,Owls and other birds of prey,Mary E. Reid,30385038512213,$15.00,In,2020/04/25,"birds of prey,juvenile literature"
8025,798 NIC,P.K. Subban,Lorna Schultz Nicholson,30385000000947,$10.00,In,2023/10/02,recreation
8026,E POU,Pablo Finds a Treasure,Andrée Poulin,30385038521247,$9.95,In,2020/04/25,american literature
8027,551.46 PET,Pacific Ocean,David Petersen,30385038507336,$0.00,In,2020/04/25,"description and travel,discoveries in geography,discovery and exploration,découverte et exploration,early works to 1800,great britain,maps,voyages around the world,voyages autour du monde"
8029,E LAN,"The Padawan Menace, Star Wars",,30385000001655,$15.00,In,2020/04/26,"adventure and adventurers,cartoons and comics,han solo (fictitious character),life on other planets,space warfare,war,yoda (fictitious character : lucas)"
8030,E BON,Paddington Bear,Michael. Bond,30385038501892,$1.00,In,2020/04/26,"bears,boys,children's,freundschaft,general,humorous stories,juvenile,kind"
8032,741.5973 GUL,Page by Paige,Laura Lee Gulledge,30385038518186,$9.95,In,2020/04/25,"adolescence,anxiety,artists,cartoons and comics,cities and towns,comic books,friendship,graphic novels,high schools,household moving,identity,identity (psychology),new york (n.y.),parent and child,schools,strips,teenage girls,teenagers"
8036,FIC MAD,Paintball boss,Jake Maddox,30385038520564,$10.00,In,2020/04/26,"games,sports"
8039,E BOY,Pajama time!,Sandra. Boynton,30385038506844,$0.00,In,2020/04/26,"animals,bedtime,board books,stories in rhyme"
8042,F HAD,Palace of Mirrors,Margaret Peterson Haddix,30385038517073,$10.00,In,2020/04/26,"best friends,fantasy,friendship,identity,identity (philosophical concept),individuality,orphans,princesses"
8062,599.789 PET,Pandas,Kate. Petty,30385038512446,$25.00,In,2020/04/25,"animales,animals,endangered species,ficción juvenil,pandas,readers,spanish language,spanish language materials,stories in rhyme"
8063,E MUN,Paper bag princess,Robert N. Munsch,30385038503526,$5.95,In,2020/04/26,"adventure and adventurers,american literature,dragons,english language,fairy tales,juvenile literature,littérature de jeunesse anglaise,mini-livres,miniature books,miniature books.,ouvrages illustrés,personal beauty,picture books,princes,princess,princesses,reading,self-perception,self-reliance,spanish language,toy and movable books"
8065,E MUN,Paper bag princess,Robert N. Munsch,30385038510559,$5.00,In,2020/04/26,"adventure and adventurers,american literature,dragons,english language,fairy tales,juvenile literature,littérature de jeunesse anglaise,mini-livres,miniature books,miniature books.,ouvrages illustrés,personal beauty,picture books,princes,princess,princesses,reading,self-perception,self-reliance,spanish language,toy and movable books"
8068,F VAW,Paperboy,Vince Vawter,30385038519988,$9.00,In,2020/04/26,"boys,collectionid:caldecotthonor90,determination (personality trait),dogs,dreams,newspaper carriers,newspapers,night,picture books,responsibility,sleep"
8069,E PIL,Paperboy,Dav Pilkey,30385038512884,$7.00,In,2020/04/26,"boys,collectionid:caldecotthonor90,determination (personality trait),dogs,dreams,newspaper carriers,newspapers,night,picture books,responsibility,sleep"
8071,F HAL,Parents from the 13th dimension,Katy. Hall,30385038502268,$1.00,In,2020/04/25,"collectionid:fsghosts,ghost stories,horror stories"
8072,F ROO,"Paris, 1850 ",Sebastian. Rook,30385038513220,$6.00,In,2020/04/26,vampires
8076,E ARN,Parts,Tedd. Arnold,30385038501097,$1.00,In,2020/04/25,"early works to 1800,english language,portraits,readers,textbooks"
8079,297.362 MOB,Party in Ramadan,Asma. MobinUddin,30385038518371,$22.00,In,2020/04/26,"birthdays,islam"
8080,E REI,Party,Barbara Reid,30385038501313,$1.00,In,2020/04/25,"comics & graphic novels,crime & mystery,detective and mystery stories,detectives,drowning victims,détectives,england,english literature,general,halloween,hercule (fictitious character),hercule poirot (fictitious character),large type books,murder,murder mystery,mystery,mystery & detective,mystery and detective stories,nouvelles,novela,parties,poirot,private investigators,romans,traditional"
8088,E HAY,Patrick and the big bully,Geoffrey. Hayes,30385038507338,$0.00,In,2020/04/26,"bears,bullies,teddy bears"
8089,362.1969790092MIT,Patrick's Wish,Karen. Mitchell,30385038518672,$8.00,In,2020/04/25,"aids (disease),biographies,biography,canada,juvenile literature,ouvrages pour la jeunesse,patients,sida"
8091,E SLO,Patty's pumpkin patch,Teri. Sloat,30385038508650,$23.50,In,2020/04/26,"alphabet,pumpkin,stories in rhyme"
8094,F PEN,Pax,Sara Pennypacker,30385038520276,$21.00,Lost,2020/04/25,"adventure,death,fathers and sons,ficcion juvenil,foxes,human-animal relationships,juvenile literature,mothers,muerte,new york times bestseller,nyt:childrens-middle-grade-e-book=2017-01-15,padre e hijo,pets,runaway children,spanish language materials,zorros"
8096,F HEN,Payback,James Heneghan,30385038517443,$8.00,In,2020/04/26,"cartoons and comics,humorous stories,short stories"
8097,F HEN,Payback,James Heneghan,30385038517437,$8.00,In,2020/04/25,"cartoons and comics,humorous stories,short stories"
8098,F HEN,Payback,James Heneghan,30385038517431,$8.00,In,2020/04/25,"cartoons and comics,humorous stories,short stories"
8099,F HEN,Payback,James Heneghan,30385038517428,$8.00,In,2020/04/26,"cartoons and comics,humorous stories,short stories"
8100,F HEN,Payback,James Heneghan,30385038517425,$8.00,In,2020/04/26,"cartoons and comics,humorous stories,short stories"
8101,F HEN,Payback,James Heneghan,30385038517440,$8.00,In,2020/04/25,"cartoons and comics,humorous stories,short stories"
8102,HEN,Payback,James Heneghan,30385038515558,$9.00,In,2020/04/26,"cartoons and comics,humorous stories,short stories"
